Job Title,Company,Location,Description
Data Scientist,ABC Ltd,Pune,Python Machine Learning SQL Data Science Statistics
Data Analyst,XYZ Corp,Mumbai,SQL Excel Power BI Data Visualization Statistics
Machine Learning Engineer,TechSoft,Bangalore,Python Deep Learning TensorFlow NLP
Web Developer,WebWorks,Delhi,HTML CSS JavaScript React Web Development
Cloud Engineer,CloudNet,Hyderabad,AWS Azure Cloud Computing DevOps Docker
AI Engineer,InnovateAI,Pune,Python Artificial Intelligence Machine Learning NLP
Business Analyst,BizCorp,Mumbai,Excel SQL Tableau Business Intelligence Analytics
Software Engineer,CodeTech,Bangalore,Java Python Data Structures Algorithms
DevOps Engineer,NextGenTech,Pune,Docker Kubernetes AWS CI CD DevOps
Data Engineer,DataFlow,Chennai,Python SQL ETL Big Data Hadoop Spark